Package	Download_score
epialleleR	248
EpiCompare	222
epidecodeR	206
EpiDISH	1039
epigenomix	310
epigraHMM	289
epihet	55
EpiMix	224
epimutacions	239
epiNEM	302
EpipwR	146
epiregulon	169
epiregulon.extra	172
epiRomics	2
epiSeeker	13
epistack	233
epistasisGA	179
EpiTxDb	283
epivizr	434
epivizrChart	287
epivizrData	317
epivizrServer	272
epivizrStandalone	310
erccdashboard	306
erma	271
ERSSA	249
esATAC	267
escape	609
escheR	288
esetVis	301
eudysbiome	327
evaluomeR	258
EventPointer	333
EWCE	368
ExCluster	207
ExiMiR	356
exomeCopy	416
exomePeak	168
exomePeak2	154
exonmap	52
ExperimentHub	9622
ExperimentHubData	608
ExperimentSubset	230
explorase	81
ExploreModelMatrix	390
ExpoRiskR	8
ExpressionAtlas	313
ExpressionView	138
exprExternal	20
externalVector	30
extraChIPs	266
fabia	399
facopy	145
factDesign	354
factR	158
faers	235
FamAgg	297
famat	248
farms	204
fastLiquidAssociation	265
FastqCleaner	284
fastRanges	4
fastreeR	205
fastseg	1235
fbat	53
FCBF	116
fCCAC	309
fCI	259
fcoex	107
fcScan	284
fdrame	279
FEAST	362
FeatSeekR	161
fedup	209
FELLA	371
FEM	104
fenr	182
ffpe	337
fgga	207
FGNet	342
fgsea	28571
FilterFFPE	240
findIPs	154
FindIT2	253
FindMyFriends	100
FinfoMDS	70
FISHalyseR	225
fishpond	708
FitHiC	228
flagme	280
FLAMES	248
flipflop	89
flowAI	712
flowBeads	320
flowBin	274
flowcatchR	340
flowCHIC	278
flowCL	105
flowClean	405
flowClust	1351
flowCore	3367
flowCut	296
flowCyBar	208
flowDensity	527
flowFit	95
flowFlowJo	68
flowFP	489
flowGate	220
flowGraph	198
flowMap	199
flowMatch	325
flowMeans	478
flowMerge	351
flowPeaks	371
flowPhyto	62
flowPloidy	236
flowPlots	227
flowQ	143
flowQB	106
FlowRepositoryR	94
FlowSOM	1370
flowSpecs	265
flowSpy	36
flowStats	1024
flowTime	287
flowTrans	337
flowType	154
flowUtils	234
flowViz	1532
flowVS	355
flowWorkspace	1806
fmcsR	519
fmrs	204
fobitools	221
focalCall	77
FoldGO	149
FourCSeq	153
fourSynergy	14
fRagmentomics	16
fraq	11
FRASER	347
frenchFISH	154
FRGEpistasis	203
frma	446
frmaTools	355
FScanR	43
FunChIP	153
